,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,acc_mean,acc_std
,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,,
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
ConvNeXt_small_Baseline_nodo,0.4575,0.1736,0.2947,0.0714,0.3348,0.0202,0.7092,0.0812,0.8,0.1051,0.7455,0.0666,0.9474,0.0079,0.9954,0.0062,0.9708,0.0043,0.5457,0.0348,0.6,0.1337,0.567,0.0821,0.3312,0.2339,0.1375,0.1,0.1616,0.0964,0.7972,0.0157
ConvNeXt_tiny_Baseline_nodo,0.3067,0.0413,0.3158,0.0744,0.3079,0.0522,0.7736,0.0297,0.7304,0.0748,0.7483,0.0345,0.956,0.022,0.9846,0.0109,0.9698,0.0064,0.4381,0.1494,0.3034,0.1403,0.3503,0.1554,0.2501,0.0959,0.3625,0.15,0.2909,0.111,0.7622,0.0159
EB0_Baseline_nodo,0.2619,0.1305,0.0842,0.0421,0.1242,0.0551,0.6398,0.0491,0.8348,0.0325,0.723,0.0332,0.9415,0.0042,0.9892,0.0038,0.9647,0.0018,0.4177,0.1619,0.4,0.2915,0.3803,0.2299,0.1636,0.1447,0.275,0.2291,0.2038,0.175,0.7622,0.028
EB1_Baseline_nodo,0.3615,0.0673,0.2,0.0906,0.2508,0.096,0.6665,0.0631,0.8174,0.0843,0.7288,0.0373,0.9439,0.0122,0.9815,0.0062,0.9623,0.007,0.4873,0.0472,0.3517,0.0669,0.4052,0.0514,0.2708,0.0647,0.375,0.1046,0.3129,0.0769,0.7668,0.0186
ResNet50_Baseline_nodo,0.3102,0.18,0.0947,0.0516,0.1428,0.077,0.6924,0.0648,0.7652,0.0758,0.7216,0.0258,0.9404,0.0067,0.9938,0.0031,0.9664,0.004,0.4912,0.0646,0.531,0.1423,0.4972,0.0646,0.2185,0.1168,0.2375,0.1741,0.2123,0.1418,0.7733,0.0147
ConvNeXt_small_KD_nodo_teacher,0.4286,0.0729,0.4737,0.1412,0.4472,0.1016,0.8356,0.0708,0.8261,0.0389,0.8273,0.0218,0.9924,0.0,1.0,0.0,0.9962,0.0,0.5596,0.0729,0.5793,0.1222,0.566,0.0866,0.2853,0.0326,0.2125,0.075,0.2319,0.0452,0.8212,0.0171
ConvNeXt_small_KD_nodo_student,0.3847,0.0535,0.4526,0.1272,0.4071,0.0643,0.8259,0.0705,0.7565,0.0895,0.7823,0.0229,0.9646,0.0171,0.9954,0.0062,0.9796,0.0064,0.5333,0.0538,0.6,0.1858,0.5546,0.1154,0.4125,0.3345,0.1375,0.1075,0.172,0.1071,0.8065,0.0154
ConvNeXt_tiny_KD_nodo_teacher,0.4829,0.0391,0.5684,0.1348,0.5154,0.0648,0.9051,0.0635,0.8348,0.0507,0.865,0.0103,0.9924,0.0,1.0,0.0,0.9962,0.0,0.5706,0.0582,0.6483,0.1533,0.5986,0.0847,0.2341,0.1345,0.15,0.0848,0.1783,0.0985,0.835,0.0144
ConvNeXt_tiny_KD_nodo_student,0.3202,0.0665,0.2947,0.1031,0.3022,0.0743,0.7533,0.0321,0.8087,0.0522,0.7779,0.0112,0.9642,0.007,0.9938,0.0031,0.9788,0.0029,0.5414,0.0399,0.5724,0.0804,0.5532,0.0437,0.2352,0.1005,0.15,0.0848,0.1774,0.0865,0.7945,0.0095
EB0_KD_nodo_teacher,0.3775,0.0729,0.3368,0.1084,0.3526,0.0923,0.8292,0.0829,0.8348,0.0507,0.8292,0.0523,0.9924,0.0,1.0,0.0,0.9962,0.0,0.5131,0.0372,0.7034,0.1037,0.589,0.0412,0.0983,0.0812,0.05,0.0468,0.0652,0.0575,0.8147,0.0018
EB0_KD_nodo_student,0.3147,0.1756,0.1158,0.0906,0.1593,0.1121,0.6926,0.0467,0.7739,0.0696,0.7289,0.0409,0.9429,0.01,0.9892,0.0038,0.9655,0.0042,0.5217,0.0489,0.7793,0.0414,0.6229,0.0369,0.0889,0.1296,0.0375,0.05,0.0524,0.0718,0.7917,0.0153
