,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,acc_mean,acc_std
,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,,
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
ConvNeXt_small_Baseline_nodo_weakaug,0.3245,0.0744,0.2737,0.0614,0.2942,0.0626,0.7534,0.0445,0.8087,0.0213,0.7789,0.0204,0.9558,0.0077,0.9969,0.0038,0.9759,0.0038,0.4826,0.0817,0.531,0.2252,0.4944,0.1472,0.5746,0.3602,0.2125,0.1879,0.2234,0.1498,0.7935,0.0232
ConvNeXt_tiny_Baseline_nodo_weakaug,0.357,0.0251,0.3789,0.0394,0.3668,0.0275,0.7396,0.0291,0.8087,0.0651,0.7709,0.0313,0.9656,0.0097,0.9877,0.0062,0.9764,0.0027,0.4164,0.1172,0.3655,0.2335,0.3665,0.1758,0.1693,0.1024,0.2,0.1741,0.174,0.1302,0.7742,0.0204
EB0_Baseline_nodo_weakaug,0.2533,0.0799,0.0842,0.0632,0.1226,0.0767,0.6715,0.0426,0.8174,0.0507,0.7348,0.0142,0.9334,0.0091,0.9908,0.0031,0.9612,0.0054,0.4997,0.0444,0.6276,0.1279,0.5529,0.0735,0.0619,0.0762,0.0625,0.0791,0.061,0.075,0.776,0.0129
EB1_Baseline_nodo_weakaug,0.2333,0.2906,0.0316,0.0421,0.0554,0.0732,0.5611,0.0491,0.8783,0.0639,0.6813,0.0278,0.9474,0.0121,0.9646,0.0134,0.9558,0.0052,0.4216,0.0531,0.4483,0.208,0.4121,0.1582,0.3243,0.0887,0.275,0.192,0.2484,0.0915,0.7539,0.0188
ResNet50_Baseline_nodo_weakaug,0.2622,0.1396,0.1474,0.1172,0.1838,0.1256,0.7405,0.0721,0.8087,0.1051,0.7633,0.0286,0.9526,0.0071,0.9877,0.0038,0.9698,0.0033,0.5135,0.0331,0.669,0.1473,0.5739,0.0697,0.3167,0.1856,0.2,0.1212,0.2355,0.1356,0.7945,0.0142
ConvNeXt_small_KD_nodo_weakaug_teacher,0.3467,0.1101,0.3474,0.2321,0.336,0.17,0.8328,0.0917,0.8174,0.0507,0.8196,0.037,0.9909,0.003,1.0,0.0,0.9954,0.0015,0.5168,0.0475,0.7103,0.1082,0.5933,0.0493,0.1233,0.1041,0.0625,0.0685,0.0769,0.0723,0.8157,0.0151
ConvNeXt_small_KD_nodo_weakaug_student,0.3499,0.0411,0.3579,0.0614,0.3526,0.0479,0.7572,0.0434,0.8087,0.112,0.7752,0.0417,0.9848,0.0082,0.9892,0.0038,0.987,0.003,0.5296,0.0821,0.5655,0.2166,0.5343,0.1357,0.3483,0.184,0.3,0.225,0.2856,0.1931,0.8074,0.0227
ConvNeXt_tiny_KD_nodo_weakaug_teacher,0.426,0.0426,0.5368,0.1466,0.4705,0.0826,0.8902,0.0598,0.8087,0.0213,0.8462,0.0284,0.9924,0.0,1.0,0.0,0.9962,0.0,0.56,0.0453,0.6414,0.1187,0.5919,0.0554,0.175,0.1354,0.0875,0.0848,0.1091,0.0951,0.824,0.0125
ConvNeXt_tiny_KD_nodo_weakaug_student,0.3658,0.0152,0.4842,0.1172,0.4117,0.0546,0.7957,0.1124,0.8087,0.0895,0.7924,0.0477,0.9744,0.0088,0.9908,0.0031,0.9825,0.0038,0.5022,0.0637,0.4897,0.091,0.4902,0.0662,0.2266,0.1497,0.125,0.1046,0.1549,0.1144,0.7963,0.0094
EB0_KD_nodo_weakaug_teacher,0.4969,0.0846,0.3789,0.1021,0.4276,0.0904,0.8719,0.0591,0.913,0.0389,0.8906,0.0366,0.9924,0.0,1.0,0.0,0.9962,0.0,0.5046,0.0395,0.6483,0.1279,0.5646,0.071,0.1963,0.0687,0.1375,0.1212,0.1484,0.0945,0.8258,0.0135
EB0_KD_nodo_weakaug_student,0.3413,0.0997,0.1789,0.1084,0.224,0.1014,0.6487,0.0374,0.8696,0.0389,0.7413,0.0136,0.9569,0.0083,0.9877,0.0038,0.972,0.0044,0.4555,0.1194,0.5448,0.2519,0.4852,0.1823,0.0733,0.0904,0.075,0.1212,0.0625,0.0858,0.7779,0.0266
