,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,acc_mean,acc_std
,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,,
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
ConvNeXt_small_KD_noroi_teacher,0.3524,0.1233,0.3263,0.1263,0.3012,0.0324,0.7905,0.1242,0.4522,0.2158,0.53,0.2086,0.9041,0.0261,0.9908,0.0075,0.9452,0.0109,0.4782,0.0972,0.6069,0.2405,0.5101,0.1271,0.16,0.32,0.05,0.1,0.0762,0.1524,0.7548,0.0385
ConvNeXt_small_KD_noroi_student,0.3221,0.0821,0.3579,0.1263,0.3349,0.0913,0.763,0.0419,0.7652,0.0651,0.761,0.0237,0.9626,0.0089,0.9877,0.0062,0.975,0.0038,0.5171,0.048,0.5172,0.0872,0.5125,0.0582,0.2789,0.1403,0.2,0.1212,0.2279,0.1219,0.788,0.014
ConvNeXt_tiny_KD_noroi_teacher,0.359,0.021,0.6,0.1396,0.4439,0.0424,0.8548,0.0812,0.287,0.1186,0.4165,0.1171,0.938,0.0185,0.9938,0.0031,0.965,0.009,0.4747,0.0309,0.6552,0.2011,0.5376,0.1065,0.0,0.0,0.0,0.0,0.0,0.0,0.7659,0.0089
ConvNeXt_tiny_KD_noroi_student,0.3737,0.0711,0.3053,0.0211,0.3314,0.0245,0.7651,0.0218,0.7565,0.059,0.7588,0.024,0.9542,0.0081,0.9908,0.0031,0.9721,0.0037,0.4683,0.0554,0.4345,0.1166,0.4471,0.0833,0.3083,0.0685,0.325,0.1212,0.3133,0.093,0.7825,0.0176
EB0_KD_noroi_teacher,0.1,0.2,0.0105,0.0211,0.019,0.0381,0.7957,0.1225,0.6087,0.158,0.6635,0.0663,0.8866,0.0174,0.9954,0.0062,0.9378,0.0101,0.5022,0.0472,0.6966,0.1764,0.5714,0.0836,0.1483,0.1223,0.1375,0.1649,0.1228,0.1175,0.765,0.02
EB0_KD_noroi_student,0.2857,0.0888,0.1158,0.0394,0.1643,0.0539,0.6974,0.0382,0.7913,0.0426,0.74,0.0253,0.9487,0.0116,0.9923,0.0,0.97,0.0061,0.4945,0.0412,0.6621,0.2152,0.5516,0.1253,0.0933,0.1218,0.125,0.2201,0.0964,0.1516,0.7862,0.0171
EB1_KD_noroi_teacher,0.1444,0.1975,0.0316,0.0421,0.0476,0.0602,0.1445,0.0232,0.8174,0.1439,0.243,0.0303,0.5861,0.3176,0.1738,0.1746,0.2456,0.2324,0.1806,0.1422,0.0897,0.1283,0.1089,0.136,0.2105,0.0814,0.4375,0.2092,0.251,0.0379,0.2378,0.0873
EB1_KD_noroi_student,0.3233,0.102,0.1684,0.1575,0.2062,0.1484,0.7222,0.1043,0.7391,0.0778,0.7197,0.0344,0.9483,0.0149,0.9831,0.0058,0.9653,0.0092,0.4881,0.0862,0.531,0.1226,0.5033,0.0842,0.3298,0.0575,0.35,0.1159,0.3261,0.0856,0.7788,0.0246
ResNet50_KD_noroi_teacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.1333,0.0087,0.0174,0.0154,0.0308,0.6283,0.0307,1.0,0.0,0.7713,0.0229,0.1736,0.1536,0.0828,0.0804,0.1064,0.0991,0.0,0.0,0.0,0.0,0.0,0.0,0.6111,0.0115
ResNet50_KD_noroi_student,0.1586,0.1531,0.0526,0.0471,0.0783,0.0706,0.7236,0.1075,0.6348,0.1186,0.6679,0.0783,0.9364,0.0067,0.9954,0.0038,0.965,0.0037,0.4461,0.0128,0.7862,0.0856,0.5672,0.0247,0.1286,0.1938,0.025,0.0306,0.0396,0.0491,0.7751,0.0068
