,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,acc_mean,acc_std
,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,,
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
ConvNeXt_small_KD_10roi_teacher,0.4401,0.0135,0.5263,0.1372,0.4719,0.0682,0.8194,0.0573,0.6609,0.118,0.721,0.0715,0.9634,0.0202,1.0,0.0,0.9812,0.0105,0.5002,0.0798,0.5931,0.1334,0.537,0.0858,0.26,0.0952,0.075,0.025,0.1093,0.0248,0.8,0.0257
ConvNeXt_small_KD_10roi_student,0.324,0.0526,0.3368,0.0714,0.3297,0.061,0.811,0.0777,0.7739,0.0843,0.7866,0.0487,0.9531,0.007,0.9985,0.0031,0.9752,0.0029,0.4662,0.0429,0.4966,0.0833,0.4795,0.0586,0.1702,0.0966,0.0875,0.05,0.1149,0.0648,0.7825,0.015
ConvNeXt_small_KD_30roi_teacher,0.4141,0.0449,0.6211,0.154,0.4911,0.0744,0.8218,0.108,0.7304,0.0639,0.7646,0.025,0.9909,0.003,1.0,0.0,0.9954,0.0015,0.6091,0.0334,0.5931,0.1386,0.5889,0.0644,0.1375,0.1696,0.1375,0.1696,0.1375,0.1696,0.8203,0.0082
ConvNeXt_small_KD_30roi_student,0.3595,0.0359,0.4211,0.0666,0.387,0.0467,0.7341,0.0594,0.7826,0.0825,0.7521,0.0311,0.9775,0.0139,0.9938,0.0031,0.9856,0.006,0.5166,0.0494,0.5724,0.1423,0.5375,0.0911,0.3319,0.193,0.125,0.0791,0.1703,0.1025,0.8009,0.0111
ConvNeXt_small_KD_50roi_teacher,0.4616,0.0194,0.7368,0.0744,0.5658,0.0257,0.8721,0.0653,0.7913,0.0507,0.8275,0.0377,0.9924,0.0,1.0,0.0,0.9962,0.0,0.6478,0.0595,0.5448,0.0669,0.5865,0.0324,0.3156,0.1617,0.2375,0.1275,0.2675,0.1366,0.8378,0.0054
ConvNeXt_small_KD_50roi_student,0.3668,0.038,0.4842,0.1306,0.4134,0.0695,0.8222,0.0662,0.7217,0.059,0.7645,0.0258,0.9745,0.0035,0.9985,0.0031,0.9863,0.0019,0.5453,0.0673,0.4414,0.1202,0.4826,0.0968,0.3874,0.0816,0.3625,0.0468,0.3722,0.0576,0.8028,0.0158
ConvNeXt_small_KD_70roi_teacher,0.4147,0.0366,0.5789,0.1451,0.4784,0.0781,0.9426,0.0534,0.8,0.0522,0.8635,0.0351,0.9924,0.0,1.0,0.0,0.9962,0.0,0.5524,0.0338,0.6069,0.099,0.5757,0.056,0.3194,0.1047,0.15,0.0637,0.1904,0.0537,0.8267,0.0164
ConvNeXt_small_KD_70roi_student,0.3685,0.0289,0.4211,0.0666,0.3921,0.045,0.8032,0.0653,0.7652,0.059,0.7823,0.0511,0.9701,0.011,0.9938,0.0058,0.9818,0.0055,0.4387,0.1198,0.5172,0.2399,0.4647,0.1735,0.1292,0.1077,0.1,0.1016,0.1021,0.0919,0.7899,0.0147
