,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,acc_mean,acc_std
,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,,
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
ConvNeXt_small_Baseline_weakaug,0.3629,0.07,0.3263,0.0394,0.3418,0.0464,0.7619,0.0952,0.8435,0.0651,0.7933,0.0239,0.9598,0.0073,0.9892,0.0038,0.9743,0.0044,0.537,0.0238,0.4897,0.0828,0.5092,0.052,0.3439,0.0426,0.275,0.0848,0.2935,0.0587,0.7963,0.0114
ConvNeXt_tiny_Baseline_weakaug,0.3114,0.0307,0.3684,0.0577,0.3341,0.023,0.8125,0.0873,0.7304,0.0577,0.7642,0.0339,0.9655,0.0074,0.9877,0.0062,0.9764,0.0037,0.4873,0.0279,0.4966,0.1423,0.4792,0.0725,0.2738,0.0807,0.1875,0.1118,0.2112,0.1037,0.7816,0.0069
EB0_Baseline_weakaug,0.2913,0.1548,0.1579,0.1245,0.1979,0.1338,0.6402,0.0358,0.8261,0.0275,0.7203,0.0203,0.9442,0.0113,0.9877,0.0062,0.9654,0.0072,0.5082,0.0418,0.6138,0.1501,0.5501,0.0814,0.1305,0.1134,0.0625,0.0559,0.0837,0.0737,0.7797,0.0107
EB1_Baseline_weakaug,0.3222,0.3855,0.0737,0.0788,0.1116,0.1156,0.538,0.0881,0.8783,0.0325,0.6624,0.0645,0.9403,0.0093,0.9662,0.0192,0.9529,0.0079,0.5336,0.1005,0.4552,0.0935,0.481,0.064,0.3452,0.1049,0.325,0.1741,0.3231,0.139,0.7631,0.0211
ResNet50_Baseline_weakaug,0.2237,0.0982,0.0842,0.0421,0.1212,0.059,0.7265,0.035,0.6609,0.0325,0.6908,0.015,0.9402,0.0131,0.9877,0.0062,0.9633,0.0046,0.4751,0.0149,0.8276,0.0308,0.6031,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,0.7797,0.0084
ConvNeXt_small_KD_weakaug_teacher,0.3851,0.0929,0.3263,0.1805,0.3448,0.1428,0.907,0.0436,0.8261,0.0476,0.8634,0.0333,0.9924,0.0,1.0,0.0,0.9962,0.0,0.5101,0.02,0.7724,0.1582,0.6054,0.0523,0.1821,0.1905,0.0875,0.075,0.1143,0.1048,0.8249,0.0065
ConvNeXt_small_KD_weakaug_student,0.3081,0.0713,0.2947,0.1582,0.2894,0.1178,0.7422,0.0594,0.7739,0.0843,0.7536,0.0463,0.9758,0.0087,0.9908,0.0058,0.9832,0.0066,0.4701,0.0648,0.6207,0.2409,0.5162,0.1423,0.2017,0.1664,0.125,0.1425,0.1377,0.1341,0.7935,0.0144
ConvNeXt_tiny_KD_weakaug_teacher,0.4716,0.121,0.5158,0.161,0.491,0.1371,0.8713,0.0625,0.8435,0.0651,0.8545,0.0404,0.9924,0.0,1.0,0.0,0.9962,0.0,0.569,0.0501,0.5241,0.1843,0.5268,0.0974,0.2502,0.1295,0.3,0.1829,0.2656,0.1394,0.8258,0.0245
ConvNeXt_tiny_KD_weakaug_student,0.3359,0.031,0.3789,0.0614,0.3549,0.041,0.7881,0.0736,0.8,0.0852,0.789,0.051,0.9832,0.0074,0.9877,0.0038,0.9854,0.005,0.5087,0.0249,0.6621,0.1121,0.5707,0.0526,0.12,0.16,0.05,0.0612,0.0689,0.0851,0.8018,0.0105
EB0_KD_weakaug_teacher,0.4578,0.0474,0.4421,0.1315,0.4447,0.0919,0.865,0.0508,0.8696,0.0,0.8665,0.0252,0.9924,0.0,1.0,0.0,0.9962,0.0,0.538,0.0369,0.5517,0.2277,0.5202,0.1076,0.2684,0.1083,0.25,0.1811,0.2345,0.127,0.8221,0.0115
EB0_KD_weakaug_student,0.4071,0.3362,0.0737,0.0537,0.1162,0.0792,0.6313,0.0276,0.887,0.0213,0.7369,0.0156,0.9569,0.012,0.9877,0.0038,0.972,0.0059,0.5155,0.0554,0.7448,0.1125,0.6082,0.0723,0.04,0.08,0.0125,0.025,0.019,0.0381,0.7926,0.0172
