epochs,fold0_train_acc,fold1_train_acc,fold2_train_acc,fold3_train_acc,fold4_train_acc,fold0_train_loss,fold1_train_loss,fold2_train_loss,fold3_train_loss,fold4_train_loss,fold0_train_cons_loss,fold1_train_cons_loss,fold2_train_cons_loss,fold3_train_cons_loss,fold4_train_cons_loss,fold0_train_cls_loss,fold1_train_cls_loss,fold2_train_cls_loss,fold3_train_cls_loss,fold4_train_cls_loss,fold0_val_acc,fold1_val_acc,fold2_val_acc,fold3_val_acc,fold4_val_acc,fold0_val_loss,fold1_val_loss,fold2_val_loss,fold3_val_loss,fold4_val_loss
0,0.6046242774566475,0.5965317919075145,0.5988439306358382,0.5953757225433527,0.6000000000000001,3.3701670224513482,3.0093158844414107,4.946351068829178,3.3659269897215958,3.6136549536241303,5.608731176875053,4.859969003484883,8.742941346737222,5.577495105769656,6.112169294182314,1.1316028559973481,1.1586627785218966,1.1497608149817231,1.1543588900784834,1.1151405824433773,0.5990783410138248,0.631336405529954,0.5990783410138248,0.5990783410138248,0.6036866359447005,0.886372790358583,0.8956315704205069,0.9531036236319125,0.9484520134288594,0.860924786686348
1,0.6982658959537573,0.7109826589595376,0.7052023121387284,0.7098265895953758,0.7086705202312139,2.4971886700993284,2.151190706896126,3.8309514872524715,2.488276949169439,2.877389024157043,4.332665077590067,3.655509838270485,7.043821147822459,4.330682778577192,5.130507609166137,0.7512475984905838,0.7202529557254336,0.774807011315582,0.7357444763183594,0.734178578088043,0.7096774193548387,0.7188940092165899,0.7188940092165899,0.7880184331797235,0.7096774193548387,0.7482589510728687,0.712220222719254,0.7547646799395161,0.7469786191316244,0.8129306213097638
2,0.7271676300578035,0.7248554913294798,0.7329479768786128,0.7283236994219654,0.7341040462427746,2.1517225703515046,1.7733539012047128,3.275332637883108,2.063349343494538,2.55390515991854,3.7972811668291007,2.9952499396210417,6.155880495495753,3.5952691837735133,4.656192157246651,0.6628839160324237,0.6678289798421597,0.6691227834159081,0.6773267273509175,0.6518360452914457,0.7188940092165899,0.7926267281105991,0.7327188940092166,0.7880184331797235,0.783410138248848,0.6527452600716446,0.6943698302941388,0.696536859609015,0.6443735992853543,0.6540569533950172
3,0.7456647398843931,0.7456647398843931,0.7514450867052024,0.7549132947976879,0.7445086705202313,1.8427200495103084,1.575542015493463,2.948851875208933,1.829224596876617,2.3674200330305535,3.2443463725781223,2.678997038154427,5.663226183401335,3.234646671408907,4.3949533104896545,0.6366694214147165,0.6260574060842532,0.6132273717757759,0.6199078691115073,0.6227982984770328,0.7788018433179723,0.7926267281105991,0.7788018433179723,0.7972350230414746,0.7926267281105991,0.5979818177113335,0.6161244475896457,0.638591572985671,0.6018560031592022,0.6202381327404954
4,0.7745664739884394,0.7780346820809249,0.7641618497109827,0.7872832369942196,0.7653179190751446,1.6973504640093637,1.413830611137075,2.6655623836254856,1.6363479659098004,2.2255384555650415,3.0557509124825852,2.436166521059264,5.193786704212154,2.940456409793381,4.230577350209613,0.5859319704388259,0.5773739683518716,0.5970153108649298,0.5693501901189122,0.5850521840086771,0.783410138248848,0.7972350230414746,0.7695852534562212,0.8018433179723502,0.7926267281105991,0.5621912380517353,0.5711514521304364,0.6249939527379752,0.5835868026803716,0.6051571050547235
5,0.7653179190751446,0.7942196531791909,0.7791907514450868,0.7826589595375723,0.7953757225433526,1.5884787067087418,1.3397243241651342,2.440148509697083,1.486279514267904,2.114139270618421,2.86823647640167,2.3769598395452585,4.888782833694318,2.726238679448399,4.128622074192817,0.5931115631663472,0.5329856041374557,0.5356551266591484,0.5218668246487959,0.5473193422370001,0.7788018433179723,0.8202764976958525,0.7880184331797235,0.8018433179723502,0.7926267281105991,0.59793456468714,0.5293794271583381,0.5663124471216158,0.535197526079169,0.5477112800844254
6,0.7872832369942196,0.808092485549133,0.8138728323699422,0.7988439306358383,0.7826589595375723,1.4191927844231282,1.227069784468467,2.2376796596367425,1.3817163934128,1.9837679034526194,2.6339520790161344,2.2204626240861525,4.616377277111789,2.5864528505080338,3.916822408590842,0.5213271762252948,0.49282286582736795,0.47951176844605614,0.4912589711880465,0.5549884061200903,0.8018433179723502,0.8064516129032258,0.783410138248848,0.8110599078341014,0.7972350230414746,0.5132991245814732,0.505025626327585,0.5468856881840438,0.5239592521421371,0.5359437300862255
7,0.8,0.8450867052023122,0.8323699421965318,0.8092485549132948,0.8208092485549133,1.2866007793660557,1.0997516932564044,2.1519826943174416,1.3227654201995342,1.7906013926781645,2.4232418709391848,2.0558264211777155,4.571953191122877,2.5303172985894964,3.625641990145412,0.48853367621745536,0.4284652198126557,0.45285454583824225,0.47490989177598864,0.5021686816434248,0.7972350230414746,0.8064516129032258,0.8064516129032258,0.7695852534562212,0.783410138248848,0.5024193267119096,0.4858544696860599,0.5210057271790395,0.516682848952333,0.510109615765409
8,0.8046242774566474,0.8520231213872833,0.8589595375722544,0.8416184971098266,0.8439306358381503,1.2259709705179984,1.066453403289165,1.9440280982387175,1.2522852722931346,1.6143007885425462,2.3661463219638263,2.05383872712424,4.250222934495419,2.455794601538859,3.3919340987271127,0.46585402794934194,0.40819647990235497,0.4065648175160819,0.4499456641870901,0.4292118396234075,0.8294930875576036,0.8018433179723502,0.8064516129032258,0.7972350230414746,0.7649769585253456,0.4611394504248272,0.4929735034292195,0.5169935797766056,0.4638340681928643,0.5632260933449741
9,0.8208092485549133,0.8658959537572255,0.8589595375722544,0.8485549132947977,0.8473988439306359,1.1598089977141914,1.0163739896422133,1.89731366809355,1.1822331904544743,1.5127315064635845,2.3022379968144477,2.020481441272508,4.268981900237022,2.4227494715003792,3.2737085961420602,0.43704783369641786,0.38112236819136036,0.3968705912248804,0.3974167797543587,0.39864401861068305,0.8110599078341014,0.7741935483870968,0.783410138248848,0.8202764976958525,0.7603686635944701,0.47616563085037444,0.4746471000706545,0.5346638903639833,0.48282486172865063,0.5190488753780242
