epochs,fold0_train_acc,fold1_train_acc,fold2_train_acc,fold3_train_acc,fold4_train_acc,fold0_train_loss,fold1_train_loss,fold2_train_loss,fold3_train_loss,fold4_train_loss,fold0_val_acc,fold1_val_acc,fold2_val_acc,fold3_val_acc,fold4_val_acc,fold0_val_loss,fold1_val_loss,fold2_val_loss,fold3_val_loss,fold4_val_loss
0,0.6057803468208093,0.608092485549133,0.584971098265896,0.5710982658959538,0.584971098265896,1.1543079691195706,1.1360961800321527,1.1857430869286214,1.207561720401869,1.172583475025422,0.7235023041474654,0.7327188940092166,0.695852534562212,0.7096774193548387,0.7419354838709677,0.797742430515553,0.8080312139976958,0.9217897757956509,0.7874893680695565,0.7978533907420075
1,0.7260115606936417,0.7445086705202313,0.7352601156069365,0.7248554913294798,0.7502890173410405,0.6804556387280105,0.7011613173222323,0.6897315776676213,0.6824816459909492,0.7041913697478968,0.7603686635944701,0.7557603686635944,0.7603686635944701,0.7511520737327189,0.7603686635944701,0.6476069683303481,0.6169749756562545,0.6574050973637313,0.6252730057536182,0.6122597900953161
2,0.7757225433526012,0.7780346820809249,0.7687861271676301,0.7630057803468209,0.7803468208092486,0.6028826258598118,0.5777250498259833,0.5977919686824904,0.6198906854752007,0.5949240944801121,0.8248847926267281,0.7926267281105991,0.783410138248848,0.7788018433179723,0.7926267281105991,0.5446699357801869,0.5393946346599385,0.5561790136697655,0.5539956048886348,0.5365985263877201
3,0.7884393063583816,0.7826589595375723,0.8046242774566474,0.8046242774566474,0.7965317919075146,0.5468341967928301,0.5361882245868718,0.5340856920688524,0.5342788718162327,0.5416933128593164,0.8248847926267281,0.8110599078341014,0.8248847926267281,0.8018433179723502,0.8202764976958525,0.4922933226906209,0.512082835496296,0.5199493570811188,0.488417056299025,0.49237580013714627
4,0.8092485549132948,0.8208092485549133,0.8104046242774567,0.8104046242774567,0.8150289017341041,0.5113851253045808,0.47572031726530933,0.5231341336845258,0.4994896836237076,0.4649264738647216,0.8294930875576036,0.815668202764977,0.8341013824884793,0.8294930875576036,0.8110599078341014,0.4459431616392004,0.43023088945221793,0.4757678179147606,0.4454239546428628,0.4283160570030388
5,0.8219653179190752,0.8323699421965318,0.8381502890173411,0.8265895953757226,0.8404624277456648,0.4463108201092536,0.432917516302625,0.4455051996292324,0.47209665425326847,0.4406245897669311,0.8294930875576036,0.815668202764977,0.847926267281106,0.8064516129032258,0.815668202764977,0.39614929471697125,0.3960618005919566,0.39050201117168376,0.41459333072609617,0.4422173851646037
6,0.8450867052023122,0.8531791907514451,0.8369942196531792,0.8520231213872833,0.8589595375722544,0.39794426883032563,0.3974844732689201,0.40181457435866014,0.42106713491295455,0.38338996292254246,0.8064516129032258,0.8341013824884793,0.8341013824884793,0.8248847926267281,0.8110599078341014,0.40062485367471723,0.39345268939497285,0.3592270486365815,0.3896142991457117,0.4248082797098819
7,0.8497109826589596,0.8647398843930636,0.8589595375722544,0.8647398843930636,0.8705202312138729,0.41717063751789407,0.3410721709695431,0.38685975175931914,0.3506708482810117,0.33789734815785644,0.815668202764977,0.8341013824884793,0.8294930875576036,0.8248847926267281,0.8202764976958525,0.3810106554339009,0.37216627652743994,0.36668287169548774,0.37549970556514056,0.4137544626464492
8,0.8763005780346821,0.8867052023121388,0.8647398843930636,0.8797687861271677,0.8913294797687862,0.36792926285245003,0.3022415248352453,0.35988405387882794,0.35630293819335623,0.32656620155780686,0.8110599078341014,0.8341013824884793,0.8248847926267281,0.8110599078341014,0.8064516129032258,0.39860120731564713,0.39707406654885286,0.3699199104089341,0.3507627918972947,0.43167822976266185
9,0.8878612716763006,0.8763005780346821,0.8809248554913295,0.8947976878612718,0.9028901734104047,0.3521888320325711,0.31437055083042986,0.3133432202109503,0.29618115682120716,0.2899318050353899,0.8294930875576036,0.847926267281106,0.8387096774193549,0.8387096774193549,0.7926267281105991,0.39062130725878175,0.40463729717764435,0.3531467969516455,0.4233215272701281,0.5001107707001646
